https://statistik.arbeitsagentur.de/Statistikdaten/Detail/202212/iiia6/beschaeftigung-entgelt-entgelt/entgelt-dwolk-0-202212-xlsx.xlsx?__blob=publicationFile&v=4;;;;
;;;;
krsnr;kreis;medianentgelt;medianentgelt_male;medianentgelt_female
01001;Flensburg, Stadt;3433;3567;3198
01002;Kiel, Landeshauptstadt;3773;3919;3601
01003;Lübeck, Hansestadt;3484;3533;3393
01004;Neumünster, Stadt;3323;3387;3151
01051;Dithmarschen;3273;3412;2918
01053;Herzogtum Lauenburg;3302;3399;3095
01054;Nordfriesland;3143;3273;2808
01055;Ostholstein;3032;3118;2852
01056;Pinneberg;3441;3537;3208
01057;Plön;3234;3328;2967
01058;Rendsburg-Eckernförde;3377;3469;3118
01059;Schleswig-Flensburg;3060;3138;2849
01060;Segeberg;3468;3531;3329
01061;Steinburg;3421;3542;3175
01062;Stormarn;3463;3540;3278
02000;Hamburg, Freie und Hansestadt;4127;4390;3800
03101;Braunschweig, Stadt;3923;4221;3536
03102;Salzgitter, Stadt;4487;4588;3863
03103;Wolfsburg, Stadt;5238;5476;4546
03151;Gifhorn;3503;3672;3108
03153;Goslar;3294;3438;3009
03154;Helmstedt;3019;3047;2961
03155;Northeim;3321;3397;3102
03157;Peine;3366;3448;3163
03158;Wolfenbüttel;3457;3538;3333
03159;Göttingen;3583;3654;3445
03241;Region Hannover;3799;3943;3578
03251;Diepholz;3196;3296;2883
03252;Hameln-Pyrmont;3531;3708;3260
03254;Hildesheim;3438;3560;3168
03255;Holzminden;3556;3641;3330
03256;Nienburg (Weser);3272;3371;2960
03257;Schaumburg;3290;3390;3035
03351;Celle;3466;3613;3111
03352;Cuxhaven;3188;3321;2862
03353;Harburg;3178;3244;3013
03354;Lüchow-Dannenberg;3154;3251;2840
03355;Lüneburg;3334;3415;3151
03356;Osterholz;3193;3293;2911
03357;Rotenburg (Wümme);3256;3378;2912
03358;Heidekreis;3274;3393;2980
03359;Stade;3474;3652;3086
03360;Uelzen;3197;3309;2969
03361;Verden;3238;3361;2899
03401;Delmenhorst, Stadt;3072;3194;2789
03402;Emden, Stadt;3813;4139;3225
03403;Oldenburg (Oldenburg), Stadt;3581;3745;3357
03404;Osnabrück, Stadt;3647;3843;3309
03405;Wilhelmshaven, Stadt;3469;3613;3185
03451;Ammerland;3216;3317;2927
03452;Aurich;3179;3326;2838
03453;Cloppenburg;2980;3115;2491
03454;Emsland;3395;3533;2848
03455;Friesland;3323;3503;2903
03456;Grafschaft Bentheim;3272;3426;2772
03457;Leer;3134;3236;2830
03458;Oldenburg;3010;3141;2657
03459;Osnabrück;3269;3418;2791
03460;Vechta;3185;3332;2645
03461;Wesermarsch;3762;3963;3165
03462;Wittmund;3043;3177;2679
04011;Bremen, Stadt;3864;4082;3525
04012;Bremerhaven, Stadt;3333;3413;3188
05111;Düsseldorf, Stadt;4369;4698;3990
05112;Duisburg, Stadt;3849;3982;3579
05113;Essen, Stadt;3906;4090;3665
05114;Krefeld, Stadt;3854;4049;3495
05116;Mönchengladbach, Stadt;3334;3417;3174
05117;Mülheim an der Ruhr, Stadt;3977;4123;3727
05119;Oberhausen, Stadt;3533;3609;3369
05120;Remscheid, Stadt;3693;3826;3375
05122;Solingen, Klingenstadt;3483;3607;3241
05124;Wuppertal, Stadt;3721;3843;3534
05154;Kleve;3270;3376;2983
05158;Mettmann;3823;3967;3538
05162;Rhein-Kreis Neuss;3800;3977;3478
05166;Viersen;3314;3398;3100
05170;Wesel;3461;3589;3199
05314;Bonn, Stadt;4419;4734;4103
05315;Köln, Stadt;4123;4355;3823
05316;Leverkusen, Stadt;4367;4659;3886
05334;Städteregion Aachen;3762;3940;3487
05358;Düren;3618;3734;3350
05362;Rhein-Erft-Kreis;3577;3729;3269
05366;Euskirchen;3461;3568;3191
05370;Heinsberg;3346;3461;3048
05374;Oberbergischer Kreis;3637;3804;3192
05378;Rheinisch-Bergischer Kreis;3571;3675;3372
05382;Rhein-Sieg-Kreis;3478;3596;3212
05512;Bottrop, Stadt;3407;3473;3258
05513;Gelsenkirchen, Stadt;3549;3629;3422
05515;Münster, Stadt;3872;4095;3613
05554;Borken;3461;3611;2921
05558;Coesfeld;3383;3507;3018
05562;Recklinghausen;3456;3526;3306
05566;Steinfurt;3371;3484;3020
05570;Warendorf;3564;3692;3183
